"States","Yr","Quater","Type","District","total_insurance_count","total_insurance_amount","total_transaction_count","total_transaction_amount","total_registered_users","total_app_opens"
"uttar-pradesh","2021","4",NULL,"pilibhit district",NULL,NULL,"1274358","2906462851.4934115","250203","5578152"
"uttar-pradesh","2021","4",NULL,"muzaffarnagar district",NULL,NULL,"4506330","9379680721.031658","480240","17005233"
"uttar-pradesh","2021","4",NULL,"moradabad district",NULL,NULL,"4700453","11208349342.771992","496358","17198569"
"uttar-pradesh","2021","4",NULL,"mirzapur district",NULL,NULL,"2252737","5182409009.996834","337415","9532883"
"uttar-pradesh","2021","4",NULL,"meerut district",NULL,NULL,"15531638","28699663710.751427","911852","30248838"
"uttar-pradesh","2021","4",NULL,"mau district",NULL,NULL,"2252199","5011302381.434206","314297","9333091"
"uttar-pradesh","2021","4",NULL,"mathura district",NULL,NULL,"7115905","13919276418.614656","674711","25736842"
"uttar-pradesh","2021","4",NULL,"mainpuri district",NULL,NULL,"2113665","4520682557.791234","267320","8714957"
"uttar-pradesh","2021","4",NULL,"mahoba district",NULL,NULL,"792543","1799125208.2790942","109417","3370832"
"uttar-pradesh","2021","4",NULL,"maharajganj district",NULL,NULL,"2529576","6321410297.799974","352595","11595475"
"uttar-pradesh","2021","4",NULL,"lucknow district",NULL,NULL,"67415795","115688821642.09215","2215886","65244080"
"uttar-pradesh","2021","4",NULL,"lalitpur district",NULL,NULL,"1651783","3122246520.8050327","167240","6745680"
"uttar-pradesh","2021","4",NULL,"kushinagar district",NULL,NULL,"5159159","11909986083.031399","547287","21821978"
"uttar-pradesh","2021","4",NULL,"kheri district",NULL,NULL,"2015929","4251644291.327563","480851","8802799"
"uttar-pradesh","2021","4",NULL,"kaushambi district",NULL,NULL,"913002","2274136947.776567","136353","4006717"
"uttar-pradesh","2021","4",NULL,"kasganj district",NULL,NULL,"1164954","2575818040.7462597","170176","5438009"
"uttar-pradesh","2021","4",NULL,"kanpur nagar district",NULL,NULL,"13055831","24968225095.50705","1349794","34981290"
"uttar-pradesh","2021","4",NULL,"kanpur dehat district",NULL,NULL,"1603771","3708949649.1614385","201743","7039315"
"uttar-pradesh","2021","4",NULL,"kannauj district",NULL,NULL,"1546012","3178556902.2628765","213494","6740457"
"uttar-pradesh","2021","4",NULL,"jhansi district",NULL,NULL,"5241111","10951192259.83568","497457","18602474"
"uttar-pradesh","2021","4",NULL,"jaunpur district",NULL,NULL,"5100705","11624361312.504543","698280","21320725"
"uttar-pradesh","2021","4",NULL,"jalaun district",NULL,NULL,"1969102","4328596082.28044","246646","8392204"
"uttar-pradesh","2021","4",NULL,"hathras district",NULL,NULL,"2019707","4284086960.9278436","247776","8866006"
"uttar-pradesh","2021","4",NULL,"hardoi district",NULL,NULL,"1958800","4333443603.022738","345246","8663687"
"uttar-pradesh","2021","4",NULL,"hapur district",NULL,NULL,"3614646","6518053156.719271","309228","12341714"
"uttar-pradesh","2021","4",NULL,"hamirpur district",NULL,NULL,"934114","2264813632.9454894","139019","4101855"
"uttar-pradesh","2021","4",NULL,"gorakhpur district",NULL,NULL,"9958532","21591200217.753147","964667","31482311"
"uttar-pradesh","2021","4",NULL,"gonda district",NULL,NULL,"2483643","6834303399.345653","328086","11353784"
"uttar-pradesh","2021","4",NULL,"ghazipur district",NULL,NULL,"4383062","10069941265.693384","552224","16930341"
